2018-01-01,9434.5000
2018-01-02,9417.8500
2018-01-03,9439.3500
2018-01-04,9505.7500
2018-01-05,9573.4500
2018-01-08,9639.2500
2018-01-09,9640.7500
2018-01-10,9630.6000
2018-01-11,9650.3000
2018-01-12,9665.2000
2018-01-15,9699.8500
2018-01-16,9612.6000
2018-01-17,9686.6000
2018-01-18,9646.8000
2018-01-19,9723.1000
2018-01-22,9787.3000
2018-01-23,9877.2000
2018-01-24,9853.9000
2018-01-25,9810.0000
2018-01-29,9819.4500
2018-01-30,9743.0500
2018-01-31,9697.9000
2018-02-01,9687.0500
2018-02-02,9409.8000
2018-02-05,9344.4000
2018-02-06,9190.5500
2018-02-07,9206.3500
2018-02-08,9322.6000
2018-02-09,9251.1000
2018-02-12,9348.4500
2018-02-14,9326.7000
2018-02-15,9323.6000
2018-02-16,9235.6000
2018-02-19,9159.9500
2018-02-20,9151.0500
2018-02-21,9167.6000
2018-02-22,9138.5000
2018-02-23,9251.3500
2018-02-26,9332.6500
2018-02-27,9302.2500
2018-02-28,9261.9000
2018-03-01,9225.3500
2018-03-05,9136.1000
2018-03-06,9039.8000
2018-03-07,8936.8500
2018-03-08,9000.7000
2018-03-09,8986.4000
2018-03-12,9121.7500
2018-03-13,9157.9000
2018-03-14,9151.5500
2018-03-15,9133.9000
2018-03-16,9004.4500
2018-03-19,8894.2000
2018-03-20,8920.4500
2018-03-21,8949.1000
2018-03-22,8904.0000
2018-03-23,8800.8000
2018-03-26,8914.3500
2018-03-27,8978.1000
2018-03-28,8912.1000
2018-04-02,9023.6000
2018-04-03,9074.8500
2018-04-04,8975.6000
2018-04-05,9146.1500
2018-04-06,9172.0500
2018-04-09,9205.2000
2018-04-10,9219.1500
2018-04-11,9230.8500
2018-04-12,9247.2500
2018-04-13,9267.6500
2018-04-16,9311.3000
2018-04-17,9330.3000
2018-04-18,9311.6000
2018-04-19,9356.4000
2018-04-20,9347.6500
2018-04-23,9373.4000
2018-04-24,9390.4000
2018-04-25,9349.9500
2018-04-26,9381.3500
2018-04-27,9443.6500
2018-04-30,9496.5000
2018-05-02,9444.5000
2018-05-03,9388.6500
2018-05-04,9339.7500
2018-05-07,9418.8000
2018-05-08,9419.8500
2018-05-09,9418.9000
2018-05-10,9360.9500
2018-05-11,9416.3500
2018-05-14,9389.9500
2018-05-15,9365.9000
2018-05-16,9328.7000
2018-05-17,9304.4500
2018-05-18,9209.2000
2018-05-21,9108.7000
2018-05-22,9145.6500
2018-05-23,9069.8000
2018-05-24,9115.5500
2018-05-25,9215.5500
2018-05-28,9307.5500
2018-05-29,9270.6000
2018-05-30,9255.0000
2018-05-31,9315.3500
2018-06-01,9255.2500
2018-06-04,9175.9000
2018-06-05,9110.5000
2018-06-06,9205.9000
2018-06-07,9300.1000
2018-06-08,9316.2500
2018-06-11,9332.4000
2018-06-12,9386.4500
2018-06-13,9386.4000
2018-06-14,9356.6500
2018-06-15,9343.7000
2018-06-18,9318.5500
2018-06-19,9234.5000
2018-06-20,9276.4000
2018-06-21,9240.2500
2018-06-22,9296.6500
2018-06-25,9234.4000
2018-06-26,9231.8000
2018-06-27,9129.2500
2018-06-28,9036.9500
2018-06-29,9162.4500
2018-07-02,9109.0000
2018-07-03,9149.4000
2018-07-04,9194.5500
2018-07-05,9166.6000
2018-07-06,9194.5000
2018-07-09,9277.9500
2018-07-10,9359.4000
2018-07-11,9344.2500
2018-07-12,9380.9000
2018-07-13,9349.0500
2018-07-16,9231.2500
2018-07-17,9315.2500
2018-07-18,9269.5500
2018-07-19,9236.3000
2018-07-20,9286.1000
2018-07-23,9363.8500
2018-07-24,9450.6500
2018-07-25,9449.9000
2018-07-26,9487.9000
2018-07-27,9579.0500
2018-07-30,9618.7000
2018-07-31,9650.6000
2018-08-01,9651.7000
2018-08-02,9588.8000
2018-08-03,9685.7000
2018-08-06,9709.3500
2018-08-07,9704.8000
2018-08-08,9744.7500
2018-08-09,9769.1000
2018-08-10,9724.4500
2018-08-13,9656.5000
2018-08-14,9726.1500
2018-08-16,9685.6500
2018-08-17,9770.2000
2018-08-20,9839.7500
2018-08-21,9862.5000
2018-08-23,9872.5500
2018-08-24,9850.8000
2018-08-27,9958.8000
2018-08-28,9985.9000
2018-08-29,9973.6500
2018-08-30,9975.2000
2018-08-31,9992.0000
2018-09-03,9921.6500
2018-09-04,9806.0500
2018-09-05,9764.5500
2018-09-06,9815.4500
2018-09-07,9875.2000
2018-09-10,9740.1000
2018-09-11,9607.1000
2018-09-12,9660.6000
2018-09-14,9792.7500
2018-09-17,9696.4500
2018-09-18,9594.2500
2018-09-19,9545.7000
2018-09-21,9425.5500
2018-09-24,9243.1500
2018-09-25,9303.3500
2018-09-26,9302.2500
2018-09-27,9202.3500
2018-09-28,9116.0000
2018-10-01,9165.5000
2018-10-03,9056.7000
2018-10-04,8854.8500
2018-10-05,8624.9500
2018-10-08,8602.6000
2018-10-09,8562.9500
2018-10-10,8748.5000
2018-10-11,8565.6000
2018-10-12,8767.1000
2018-10-15,8812.0000
2018-10-16,8893.8000
2018-10-17,8758.6000
2018-10-19,8640.6500
2018-10-22,8576.9500
2018-10-23,8489.9000
2018-10-24,8555.6500
2018-10-25,8473.5000
2018-10-26,8417.2500
2018-10-29,8610.1000
2018-10-30,8600.3000
2018-10-31,8753.4500
2018-11-01,8772.5000
2018-11-02,8899.4000
2018-11-05,8877.9000
2018-11-06,8870.3000
2018-11-07,8933.5000
2018-11-09,8946.3500
2018-11-12,8859.2500
2018-11-13,8923.5500
2018-11-14,8921.4500
2018-11-15,8954.6500
2018-11-16,8993.2500
2018-11-19,9052.7500
2018-11-20,8960.1500
2018-11-21,8940.3000
2018-11-22,8879.0000
2018-11-26,8943.0000
2018-11-27,8983.9000
2018-11-28,8993.2500
2018-11-29,9081.8500
2018-11-30,9109.1500
2018-12-03,9126.9000
2018-12-04,9116.4500
2018-12-05,9029.4500
2018-12-06,8883.2500
2018-12-07,8940.6500
2018-12-10,8769.6000
2018-12-11,8845.1500
2018-12-12,9021.6000
2018-12-13,9077.3000
2018-12-14,9091.3000
2018-12-17,9153.9500
2018-12-18,9177.3500
2018-12-19,9246.8000
2018-12-20,9234.4500
2018-12-21,9082.5500
2018-12-24,9002.4500
2018-12-26,9041.7000
2018-12-27,9078.8000
2018-12-28,9152.5500
2018-12-31,9170.0000
2019-01-01,9197.9000
2019-01-02,9103.4000
2019-01-03,9014.8000
2019-01-04,9054.9000
2019-01-07,9081.1500
2019-01-08,9098.6500
2019-01-09,9127.4500
2019-01-10,9119.4000
2019-01-11,9098.2000
2019-01-14,9051.4500
2019-01-15,9157.1500
2019-01-16,9158.7500
2019-01-17,9161.6000
2019-01-18,9140.1000
2019-01-21,9155.3000
2019-01-22,9131.1500
2019-01-23,9068.8500
2019-01-24,9072.2000
2019-01-25,8994.3500
2019-01-28,8876.6000
2019-01-29,8875.6500
2019-01-30,8884.9000
2019-01-31,9003.8500
2019-02-01,9056.3000
2019-02-04,9042.0000
2019-02-05,9033.6000
2019-02-06,9118.7000
2019-02-07,9145.8000
2019-02-08,9036.9000
2019-02-11,8967.1500
2019-02-12,8925.3000
2019-02-13,8887.9000
2019-02-14,8869.3000
2019-02-15,8827.0500
2019-02-18,8754.3500
2019-02-19,8742.3000
2019-02-20,8845.6000
2019-02-21,8901.7000
2019-02-22,8919.7500
2019-02-25,8983.8500
2019-02-26,8953.1500
2019-02-27,8946.2000
2019-02-28,8955.9500
2019-03-01,9037.5000
2019-03-05,9173.6000
2019-03-06,9230.4500
2019-03-07,9225.3500
2019-03-08,9211.0500
2019-03-11,9345.6000
2019-03-12,9440.8500
2019-03-13,9450.2500
2019-03-14,9447.2000
