3633,ICICIBANK,2018-01-05,314.4500,315.1500,311.6000,312.9000
3641,SBIN,2018-01-05,311.4000,311.4000,305.6000,306.3500
2,RELIANCE,2018-01-08,926.1000,931.0000,923.5000,928.5500
166,LT,2018-01-08,1316.5000,1345.9500,1316.5000,1338.2500
257,HDFC,2018-01-08,1729.2500,1745.0000,1729.0000,1740.9500
326,TATASTEEL,2018-01-08,777.7500,777.8500,765.0000,768.7500
375,TCS,2018-01-08,2700.0000,2726.8500,2681.8500,2714.4000
416,BAJFINANCE,2018-01-08,1820.0000,1843.0000,1820.0000,1836.8500
551,INFY,2018-01-08,1024.9000,1039.0000,1020.0500,1036.0500
701,MARUTI,2018-01-08,9488.0000,9495.0000,9425.0000,9448.9500
926,INDUSINDBK,2018-01-08,1711.0000,1724.0000,1700.1000,1719.9000
950,SAMMAANCAP,2018-01-08,1202.0000,1228.3000,1196.8000,1225.3000
1118,KOTAKBANK,2018-01-08,1008.8500,1013.1000,1003.7000,1006.1000
3503,TMPV,2018-01-08,432.0000,436.2000,431.6500,433.5500
3603,AXISBANK,2018-01-08,565.8000,568.0000,562.4500,565.4500
3633,ICICIBANK,2018-01-08,313.5000,318.2000,312.6000,314.1500
3641,SBIN,2018-01-08,307.2000,309.5000,305.0000,305.8000
2,RELIANCE,2018-01-09,928.1500,943.9000,924.0000,940.9500
166,LT,2018-01-09,1340.0000,1343.0000,1326.4000,1332.7500
257,HDFC,2018-01-09,1743.8500,1748.3500,1725.0000,1735.0500
326,TATASTEEL,2018-01-09,770.0000,780.8500,767.0000,772.3000
375,TCS,2018-01-09,2715.0000,2721.0000,2676.5500,2709.0000
416,BAJFINANCE,2018-01-09,1843.0000,1843.0000,1810.0000,1819.5000
551,INFY,2018-01-09,1040.0000,1044.9000,1028.9000,1041.3500
701,MARUTI,2018-01-09,9464.8000,9491.4500,9361.0000,9383.5500
926,INDUSINDBK,2018-01-09,1725.0000,1729.9500,1706.7500,1725.0500
950,SAMMAANCAP,2018-01-09,1220.1000,1231.9500,1208.4000,1216.8000
1118,KOTAKBANK,2018-01-09,1010.0000,1020.6500,996.0000,1009.7500
3503,TMPV,2018-01-09,434.2500,443.5000,433.0000,437.5500
3603,AXISBANK,2018-01-09,564.0000,573.0000,563.0000,565.3000
3633,ICICIBANK,2018-01-09,314.8000,315.8000,310.7500,312.6000
3641,SBIN,2018-01-09,307.5000,309.5000,303.3000,304.3000
2,RELIANCE,2018-01-10,943.0000,947.4000,935.5000,942.3500
166,LT,2018-01-10,1332.2000,1336.5000,1317.6500,1323.7500
257,HDFC,2018-01-10,1730.0000,1739.5000,1721.2000,1726.4500
326,TATASTEEL,2018-01-10,771.2500,777.0000,762.9000,772.8500
