SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
20MICRONS,EQ,32.85,33.85,31.85,33.45,33.85,32.3,187303,6187285.7,13-Jul-20,1382,INE144J01027
INFY,EQ,788,805.35,786.05,797.05,796.1,781.85,10804911,8618519870,13-Jul-20,150013,INE009A01021
RELIANCE,EQ,1903.35,1947.7,1900,1935,1938.7,1878.05,32124397,61905840823,13-Jul-20,615947,INE002A01018
TATASTEEL,EQ,343.3,347,338.5,342.1,342.6,338.7,12115002,4150555312,13-Jul-20,115689,INE081A01012
63MOONS,BE,73.2,75.9,71.2,71.85,72.3,74.2,19064,1389070.95,13-Jul-20,271,INE111B01023
AARVEEDEN,BE,11.1,11.65,11.1,11.2,11.2,11.1,9644,109775.45,13-Jul-20,45,INE273D01019
