TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-28,2026-08-28,CM,NSE,STK,11779,INE543V01017,ACEINTEG,EQ,,,,,ACE INTEGRATED SOLU. LTD.,17.96,17.96,17.40,17.44,17.40,17.38,,17.44,,,404,7082.50,11,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,761112,INE1J6M01010,ACETEC,SM,,,,,ACETECH E-COMMERCE LTD,125.00,138.00,125.00,138.00,138.00,129.00,,138.00,,,46800,6128400.00,9,F1,1200,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,27061,INE622W01025,ACMESOLAR,EQ,,,,,ACME SOLAR HOLDINGS LTD,392.00,398.00,388.05,393.70,392.05,386.30,,393.69,,,1185544,466882266.85,37800,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,13587,INE731H01025,ACE,EQ,,,,,ACTION CONST EQUIP LTD,1141.20,1154.10,1132.00,1140.60,1144.00,1136.00,,1140.60,,,146229,167251524.40,12198,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,5578,INE00FF01025,ACUTAAS,EQ,,,,,ACUTAAS CHEMICALS LIMITED,3359.80,3384.00,3235.00,3281.60,3262.50,3329.20,,3281.62,,,240776,790508726.30,39978,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,10217,INE931S01010,ADANIENSOL,EQ,,,,,ADANI ENERGY SOLUTION LTD,1610.00,1611.90,1566.90,1581.40,1581.40,1617.00,,1581.31,,,1647674,2604056467.40,59276,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,25,INE423A01024,ADANIENT,EQ,,,,,ADANI ENTERPRISES LIMITED,3170.00,3173.70,3133.30,3168.50,3168.50,3169.00,,3168.41,,,530795,1673147172.10,39519,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,3563,INE364U01010,ADANIGREEN,EQ,,,,,ADANI GREEN ENERGY LTD,1319.80,1321.00,1303.20,1311.00,1311.00,1328.50,,1310.90,,,776595,1016788185.80,20162,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,15083,INE742F01042,ADANIPORTS,EQ,,,,,ADANI PORT & SEZ LTD,1712.00,1723.90,1699.20,1707.50,1707.50,1714.00,,1707.49,,,3268356,5591867655.50,89746,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,17388,INE814H01029,ADANIPOWER,EQ,,,,,ADANI POWER LTD,215.92,216.50,210.91,212.63,212.63,215.00,,212.63,,,14256352,3029384925.50,75985,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,6066,INE399L01023,ATGL,EQ,,,,,ADANI TOTAL GAS LIMITED,644.00,645.15,635.00,636.50,639.50,645.35,,636.58,,,302887,193630452.10,11650,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,764563,INE757C01021,ADDIND,EQ,,,,,ADDI INDUSTRIES LTD.,84.53,84.53,79.92,84.00,84.00,86.70,,84.85,,,88,7114.37,17,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,22468,INE0RDH01021,ADDICTIVE,SM,,,,,ADDICTIVE LEARNING TECH L,46.00,47.80,46.00,47.65,47.80,45.55,,47.65,,,8500,402175.00,15,F1,500,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,19761,INE982B01027,ADFFOODS,EQ,,,,,ADF FOODS LIMITED,273.80,276.05,270.60,274.45,271.35,273.80,,274.45,,,85375,23350699.65,3519,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,763156,INE20PL01012,ADISOFT,SM,,,,,ADISOFT TECHNOLOGIES LTD,206.95,206.95,196.00,198.00,197.10,204.85,,198.00,,,18400,3702200.00,22,F1,800,,,,,
